business_date,store_id,sku,units_sold,ending_inventory,unit_price,expected_anomaly
2026-07-01,store-1,milk-1,10,60,3.49,false
2026-07-02,store-1,milk-1,11,58,3.49,false
2026-07-03,store-1,milk-1,9,55,3.49,false
2026-07-04,store-1,milk-1,12,52,3.49,false
2026-07-05,store-1,milk-1,10,48,3.49,false
2026-07-06,store-1,milk-1,11,8,3.49,true
2026-07-07,store-1,milk-1,10,0,3.49,true
2026-07-08,store-1,milk-1,11,70,3.49,false
2026-07-09,store-1,milk-1,35,35,3.49,true
2026-07-10,store-1,milk-1,12,55,3.49,false
2026-07-11,store-1,milk-1,11,5,3.49,true
2026-07-12,store-1,milk-1,0,0,3.49,true
2026-07-13,store-1,milk-1,10,80,3.49,false
2026-07-14,store-1,milk-1,9,78,3.49,false
2026-07-15,store-1,milk-1,10,70,3.49,false
2026-07-01,store-1,cereal-1,6,35,4.99,false
2026-07-02,store-1,cereal-1,5,33,4.99,false
2026-07-03,store-1,cereal-1,7,31,4.99,false
2026-07-04,store-1,cereal-1,6,29,4.99,false
2026-07-05,store-1,cereal-1,6,27,4.99,false
2026-07-06,store-1,cereal-1,5,5,4.99,true
2026-07-07,store-1,cereal-1,6,0,4.99,true
2026-07-08,store-1,cereal-1,6,40,4.99,false
2026-07-09,store-1,cereal-1,15,25,4.99,true
2026-07-10,store-1,cereal-1,6,24,4.99,false
2026-07-11,store-1,cereal-1,7,7,4.99,true
2026-07-12,store-1,cereal-1,6,30,4.99,false
2026-07-13,store-1,cereal-1,0,30,4.99,false
2026-07-14,store-1,cereal-1,6,4,4.99,true
2026-07-15,store-1,cereal-1,6,0,4.99,true
